"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP2109",384.878617593659,384.878479003906,384.879119873047,26.28591222402,24.58220516802,28.00450273602,270921.132620438,270918.280705798,202857.84375,202857,2,0
"CP2111",386.879445343043,386.879302978516,386.879516601562,26.28591222402,24.00615312,28.00450273602,2634570.28816816,2634566.86101135,1733701.875,1733701,2,0
"CP2113",387.880612497623,387.879943847656,387.885406494141,26.28591222402,22.84974622398,28.00450273602,296626.82282669,296622.240820901,168304.3125,168303,2,0
"CP2114",387.940448826492,387.940155029297,387.940582275391,25.72179448002,24.00615312,28.00450273602,3392324.54399712,3392321.11684031,2681049.25,2681048,2,0
"CP2115",388.939349631076,388.936828613281,388.939880371094,26.28591222402,24.00615312,28.00450273602,3505812.99443212,3505809.56727531,2930490.875,2930490,2,0
"CP2117",389.937943398098,389.937805175781,389.938018798828,25.72179448002,24.00615312,28.00450273602,871542.959561661,871539.532404847,683849.9375,683849,2,0
"CP2118",390.934536548611,390.934417724609,390.934600830078,26.28591222402,24.00615312,28.00450273602,405599.673640994,405596.24648418,283952.78125,283952,2,0
"CP2119",394.917965184105,394.917419433594,394.920928955078,25.72179448002,22.84974622398,28.00450273602,885786.182305776,885781.600299988,854680.53125,854680,2,0
"CP2120",396.917899749736,396.917114257812,396.918334960938,26.28591222402,24.58220516802,28.00450273602,163320.201322559,163317.349407919,138037.609375,138037,2,0
"CP2123",400.925772277973,400.924926757812,400.925964355469,26.28591222402,24.00615312,28.00450273602,337825.126368726,337821.699211913,241283.265625,241282,2,0
